Call_Type,Charging_Tm,Call_Duration,Location,A_Num,B_Num,cell_id,IMEI,TAC,DESTINATION,DESTINATION_CAT,MU_Device_type_Segment,MU_HANDSET_MOBILE_TECH
6,2024-12-02 10:48:00,2.0,44463,110,24394,889827.0,15097,189,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:49:00,2.0,4315,491,24394,846535.0,14097,158,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:49:00,2.0,13626,699,24394,827123.0,13327,134,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:49:00,2.0,7255,111,24394,853056.0,1033,5531,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:49:00,2.0,35101,193,24394,937135.0,206,5489,OTA,ON-NET,Smartphone,3G
6,2024-12-02 10:49:00,2.0,35101,193,24394,937135.0,206,5489,OTA,ON-NET,Smartphone,3G
6,2024-12-02 10:49:00,2.0,44255,541,24394,781483.0,1796,5563,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:49:00,2.0,44255,541,24394,781483.0,1796,5563,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:49:00,2.0,35101,193,24394,937135.0,206,5489,OTA,ON-NET,Smartphone,3G
6,2024-12-02 10:49:00,2.0,13626,699,24394,827123.0,13327,134,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:49:00,2.0,44463,110,24394,889827.0,15097,189,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:50:00,2.0,44255,541,24394,781483.0,1796,5563,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:50:00,2.0,24078,165,24394,806619.0,15696,210,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:50:00,2.0,35757,659,24394,866121.0,150,5485,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:50:00,2.0,7255,111,24394,853056.0,1033,5531,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:50:00,2.0,19255,425,24394,764863.0,10263,33,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:50:00,2.0,2887,699,24394,806576.0,13327,134,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:50:00,2.0,24078,165,24394,806619.0,15696,210,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:50:00,2.0,26404,559,24394,840316.0,8354,5771,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:50:00,2.0,2887,699,24394,806576.0,13327,134,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:51:00,2.0,26404,559,24394,840316.0,8354,5771,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:51:00,2.0,39594,93,24394,939638.0,13417,139,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:51:00,2.0,39594,93,24394,939638.0,13417,139,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:51:00,2.0,39594,93,24394,939638.0,13417,139,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:51:00,2.0,7255,111,24394,853056.0,1033,5531,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:51:00,2.0,35757,659,24394,866121.0,150,5485,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:51:00,2.0,35101,193,24394,937135.0,206,5489,OTA,ON-NET,Smartphone,3G
6,2024-12-02 10:51:00,2.0,24078,165,24394,806619.0,15696,210,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:51:00,2.0,39594,93,24394,939638.0,13417,139,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:51:00,2.0,24078,165,24394,806619.0,15696,210,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:51:00,2.0,44255,541,24394,781483.0,1796,5563,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:51:00,2.0,4315,491,24394,846535.0,14097,158,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:52:00,2.0,7255,111,24394,853056.0,1033,5531,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:52:00,2.0,24078,165,24394,806619.0,15696,210,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:52:00,2.0,7255,111,24394,853056.0,1033,5531,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:52:00,2.0,26404,559,24394,840316.0,8354,5771,OTA,ON-NET,Smartphone,4G
1,2024-12-02 10:52:00,95.521356,31131,20,39466,833278.0,13276,130,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:53:00,2.0,44255,541,24394,781483.0,1796,5563,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:53:00,2.0,4315,491,24394,846535.0,14097,158,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:53:00,2.0,26404,559,24394,840316.0,8354,5771,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:53:00,2.0,19255,425,24394,764863.0,10263,33,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:53:00,2.0,7255,111,24394,853056.0,1033,5531,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:53:00,2.0,7255,111,24394,853056.0,1033,5531,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:53:00,2.0,4315,491,24394,846535.0,14097,158,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:53:00,2.0,35757,659,24394,866121.0,150,5485,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:53:00,2.0,26404,193,24394,840316.0,206,5489,OTA,ON-NET,Smartphone,3G
6,2024-12-02 10:53:00,2.0,4315,491,24394,846535.0,14097,158,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:53:00,2.0,39594,93,24394,939638.0,13417,139,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:54:00,2.0,19255,425,24394,764863.0,10263,33,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:54:00,2.0,19255,425,24394,764863.0,10263,33,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:54:00,2.0,44255,541,24394,781483.0,1796,5563,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:54:00,2.0,26404,559,24394,840316.0,8354,5771,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:54:00,2.0,44255,541,24394,781483.0,1796,5563,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:54:00,2.0,7255,111,24394,853056.0,1033,5531,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:55:00,2.0,4315,491,24394,846535.0,14097,158,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:55:00,2.0,7255,111,24394,853056.0,1033,5531,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:55:00,2.0,4315,491,24394,846535.0,14097,158,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:55:00,2.0,44255,541,24394,781483.0,1796,5563,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:56:00,2.0,44255,541,24394,781483.0,1796,5563,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:56:00,2.0,6315,559,24394,898084.0,8354,5771,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:56:00,2.0,7255,111,24394,853056.0,1033,5531,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:56:00,2.0,6315,559,24394,898084.0,8354,5771,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:56:00,2.0,7255,111,24394,853056.0,1033,5531,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:56:00,2.0,7255,111,24394,853056.0,1033,5531,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:56:00,2.0,39594,93,24394,939638.0,13417,139,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:57:00,2.0,4315,491,24394,846535.0,14097,158,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:57:00,2.0,24078,165,24394,806619.0,15696,210,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:57:00,2.0,35101,193,24394,937135.0,206,5489,OTA,ON-NET,Smartphone,3G
6,2024-12-02 10:57:00,2.0,24078,165,24394,806619.0,15696,210,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:57:00,2.0,35101,193,24394,937135.0,206,5489,OTA,ON-NET,Smartphone,3G
6,2024-12-02 10:57:00,2.0,6315,559,24394,898084.0,8354,5771,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:57:00,2.0,44463,110,24394,889827.0,15097,189,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:57:00,2.0,44463,110,24394,889827.0,15097,189,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:57:00,2.0,35101,193,24394,937135.0,206,5489,OTA,ON-NET,Smartphone,3G
6,2024-12-02 10:58:00,2.0,25387,659,24394,861173.0,150,5485,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:58:00,2.0,7255,111,24394,853056.0,1033,5531,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:58:00,2.0,48646,142,24394,737995.0,9921,20,OTA,ON-NET,Smartphone,4G
6,2024-12-02 10:58:00,2.0,25387,659,24394,861173.0,150,5485,OTA,ON-NET,Smartphone,4G
